line_code	product_count	fiscal_supplier_count	products_with_stock	products_without_stock	stock_presence_pct	lifecycle_status	item_role	portal_import_rule	functional_meaning	approved_by	approval_event_id	notes	evidence_source	approval_status
R7	163	17	2	161	1.2270	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SD	158	42	0	158	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
AL	156	16	0	156	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
BA	148	36	1	147	0.6757	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
JJ	125	3	0	125	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
MZ	123	22	0	123	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SF	109	31	0	109	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
LN	102	30	0	102	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F4	94	46	0	94	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
AM	91	14	0	91	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A7	83	13	1	82	1.2048	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
AN	81	50	1	80	1.2346	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F3	79	7	1	78	1.2658	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F9	74	31	0	74	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
B6	74	5	0	74	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
L2	66	3	1	65	1.5152	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
R4	60	12	0	60	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
MA	51	22	0	51	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
EE	50	15	0	50	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
AI	49	22	0	49	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SE	47	21	0	47	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
HU	46	10	0	46	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CV	44	15	0	44	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
L1	43	9	1	42	2.3256	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
IN	43	14	0	43	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
LA	42	18	0	42	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E9	38	4	0	38	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
BR	33	18	0	33	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A6	32	10	0	32	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
L5	31	1	0	31	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CD	25	5	1	24	4.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
MK	23	17	0	23	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F1	22	12	0	22	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
LC	21	6	0	21	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
EL	21	11	0	21	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CN	20	10	0	20	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
R5	20	14	0	20	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
S3	18	6	0	18	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
H3	17	5	0	17	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
S1	16	5	0	16	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
MM	16	5	0	16	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E7	15	4	0	15	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CA	13	5	0	13	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
OO	13	1	0	13	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
AC	13	5	0	13	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A9	11	4	0	11	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
BC	11	7	0	11	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
RC	11	5	0	11	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SO	10	4	0	10	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
N7	10	4	0	10	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E2	10	6	0	10	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E0	10	5	0	10	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
S8	9	3	0	9	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
ZZ	8	1	0	8	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
QQ	8	3	0	8	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CR	6	3	0	6	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
M1	6	2	0	6	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
P4	5	3	0	5	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
HH	5	1	0	5	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
LR	5	2	0	5	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A3	5	1	0	5	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
S4	4	4	0	4	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E5	4	4	0	4	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F6	4	3	0	4	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
